Wall time,Step,Value
1558897213.5989113,0,0.0
1558897534.269527,1,2.3529202938079834
1558897855.6314456,2,0.0001470807910664007
1558898175.9384866,3,0.00014097859093453735
1558898496.799024,4,2.7501582735567354e-05
1558898817.7355797,5,4.16487455368042e-06
1558899139.1932955,6,1.6793609347587335e-06
1558899460.5740907,7,1.206994113545079e-07
1558899783.10459,8,4.723668212136545e-07
1558900108.461597,9,9.536743306171047e-08
1558900430.1709583,10,1.5199184133507515e-07
1558900752.4945023,11,9.983778426203571e-08
1558901073.3250296,12,3.4272670035306874e-08
1558901394.8186853,13,1.2964009954430367e-07
1558901715.7854044,14,6.854534007061375e-08
1558902037.5406187,15,8.046627186786282e-08
1558902358.5904343,16,7.152557657263969e-08
1558902680.0526001,17,6.109475947368992e-08
1558903001.2969453,18,1.728534755329747e-07
1558903325.083138,19,8.791685246478664e-08
