Wall time,Step,Value
1558905312.3189147,0,0.581044614315033
1558905563.3038661,1,0.29519927501678467
1558905812.9468184,2,0.2902057468891144
1558906063.7136252,3,0.28177690505981445
1558906314.427248,4,0.26593542098999023
1558906558.4278085,5,0.2606886923313141
1558906811.686508,6,0.27553483843803406
1558907062.804262,7,0.2678276300430298
1558907314.2455504,8,0.2700265645980835
1558907566.302296,9,0.24325768649578094
1558907816.8497193,10,0.24137280881404877
1558908067.199741,11,0.22597183287143707
1558908315.7214437,12,0.24784138798713684
1558908566.4171858,13,0.22850196063518524
1558908811.9665086,14,0.21638430655002594
1558909054.5835676,15,0.23880577087402344
1558909305.1699543,16,0.2199171781539917
1558909557.501701,17,0.23299507796764374
1558909804.9880083,18,0.23787285387516022
1558910054.9862242,19,0.23035651445388794
