Wall time,Step,Value
1558910969.5851796,0,0.0
1558911290.262105,1,1.9376804828643799
1558911611.0562077,2,5.606189461104805e-06
1558911932.6497633,3,1.6696750435585272e-06
1558912253.163903,4,8.837879249767866e-06
1558912573.9292765,5,7.890164852142334e-06
1558912894.746087,6,8.165836220541678e-07
1558913215.6504788,7,3.4883619264292065e-06
1558913536.506649,8,1.6207994121941738e-05
1558913857.2140973,9,5.796551931780414e-07
1558914177.9537346,10,6.896257673361106e-06
1558914498.6385503,11,8.597970008850098e-06
1558914819.1242287,12,7.63237494538771e-06
1558915140.1669757,13,8.358061677427031e-06
1558915461.0068219,14,3.1441450687452743e-07
1558915781.5416167,15,6.489754014182836e-05
1558916102.4261453,16,1.8167496818932705e-05
1558916423.1007333,17,7.361173857134418e-07
1558916743.4637206,18,1.7911195755004883e-05
1558917064.1138885,19,7.747114068479277e-06
