Wall time,Step,Value
1558912241.5349128,0,0.049962062388658524
1558912495.0158885,1,2.494454520274303e-06
1558912748.174138,2,1.934170768436161e-06
1558913002.438638,3,8.73208080065524e-07
1558913255.0302107,4,1.0952353477478027e-06
1558913507.9368708,5,3.9637089344068954e-07
1558913753.3838484,6,5.096197241982736e-07
1558913998.5569563,7,2.9653310207322647e-07
1558914252.0825627,8,8.940696716308594e-08
1558914506.499639,9,3.233552092751779e-07
1558914760.5075688,10,9.685754776000977e-08
1558915014.3749256,11,1.9073486612342094e-07
1558915267.88753,12,2.354383497049639e-07
1558915518.5117946,13,3.680586928567209e-07
1558915771.4282498,14,3.591179904560704e-07
1558916017.2334945,15,2.6941299893223913e-06
1558916263.0020785,16,1.8030405612989853e-07
1558916512.296117,17,8.940697071579962e-09
1558916765.2240443,18,2.086162531611535e-08
1558917019.017553,19,1.4901161415892261e-09
